"","Location","Date","New_Cases","Measure","Exports_Value","Imports_Value"
"476","New Zealand",2021-06-17,1,"$",430000000,242000000
"477","New Zealand",2021-06-18,0,"$",232000000,180000000
"478","New Zealand",2021-06-19,4,"$",228000000,31000000
"479","New Zealand",2021-06-20,2,"$",246000000,43000000
"480","New Zealand",2021-06-21,0,"$",138000000,253000000
"481","New Zealand",2021-06-22,3,"$",157000000,270000000
"482","New Zealand",2021-06-23,0,"$",235000000,243000000
"483","New Zealand",2021-06-24,2,"$",215000000,234000000
"484","New Zealand",2021-06-25,4,"$",217000000,332000000
"485","New Zealand",2021-06-26,0,"$",130000000,30000000
"486","New Zealand",2021-06-27,9,"$",269000000,40000000
"487","New Zealand",2021-06-28,3,"$",166000000,248000000
"488","New Zealand",2021-06-29,1,"$",311000000,227000000
"489","New Zealand",2021-06-30,0,"$",181000000,188000000
"490","New Zealand",2021-07-01,0,"$",142000000,365000000
"491","New Zealand",2021-07-02,0,"$",152000000,250000000
"492","New Zealand",2021-07-03,9,"$",121000000,35000000
"493","New Zealand",2021-07-04,7,"$",215000000,40000000
"494","New Zealand",2021-07-05,0,"$",158000000,230000000
"495","New Zealand",2021-07-06,5,"$",201000000,255000000
"496","New Zealand",2021-07-07,1,"$",217000000,260000000
"497","New Zealand",2021-07-08,1,"$",207000000,215000000
"498","New Zealand",2021-07-09,0,"$",198000000,234000000
"499","New Zealand",2021-07-10,2,"$",117000000,41000000
"500","New Zealand",2021-07-11,1,"$",152000000,40000000
"501","New Zealand",2021-07-12,18,"$",212000000,227000000
"502","New Zealand",2021-07-13,4,"$",341000000,293000000
"503","New Zealand",2021-07-14,4,"$",99000000,217000000
"504","New Zealand",2021-07-15,9,"$",264000000,235000000
"505","New Zealand",2021-07-16,0,"$",170000000,286000000
"506","New Zealand",2021-07-17,11,"$",137000000,31000000
"507","New Zealand",2021-07-18,3,"$",150000000,51000000
"508","New Zealand",2021-07-19,5,"$",173000000,265000000
"509","New Zealand",2021-07-20,6,"$",122000000,310000000
"510","New Zealand",2021-07-21,7,"$",240000000,308000000
"511","New Zealand",2021-07-22,20,"$",169000000,211000000
"512","New Zealand",2021-07-23,0,"$",183000000,201000000
"513","New Zealand",2021-07-24,7,"$",205000000,41000000
"514","New Zealand",2021-07-25,1,"$",142000000,38000000
"515","New Zealand",2021-07-26,0,"$",162000000,240000000
"516","New Zealand",2021-07-27,1,"$",333000000,392000000
"517","New Zealand",2021-07-28,3,"$",133000000,321000000
"518","New Zealand",2021-07-29,3,"$",214000000,237000000
"519","New Zealand",2021-07-30,0,"$",229000000,227000000
"520","New Zealand",2021-07-31,3,"$",211000000,67000000
"521","New Zealand",2021-08-01,4,"$",143000000,158000000
"522","New Zealand",2021-08-02,0,"$",168000000,332000000
"523","New Zealand",2021-08-03,2,"$",189000000,297000000
"524","New Zealand",2021-08-04,1,"$",135000000,226000000
"525","New Zealand",2021-08-05,0,"$",145000000,254000000
"526","New Zealand",2021-08-06,0,"$",104000000,277000000
"527","New Zealand",2021-08-07,6,"$",122000000,29000000
"528","New Zealand",2021-08-08,4,"$",132000000,47000000
"529","New Zealand",2021-08-09,12,"$",157000000,263000000
"530","New Zealand",2021-08-10,2,"$",173000000,279000000
"531","New Zealand",2021-08-11,9,"$",126000000,274000000
"532","New Zealand",2021-08-12,1,"$",101000000,291000000
"533","New Zealand",2021-08-13,0,"$",140000000,276000000
"534","New Zealand",2021-08-14,5,"$",112000000,47000000
"535","New Zealand",2021-08-15,7,"$",117000000,45000000
"536","New Zealand",2021-08-16,0,"$",98000000,258000000
"537","New Zealand",2021-08-17,10,"$",191000000,303000000
"538","New Zealand",2021-08-18,0,"$",112000000,246000000
"539","New Zealand",2021-08-19,32,"$",131000000,228000000
"540","New Zealand",2021-08-20,24,"$",132000000,273000000
"541","New Zealand",2021-08-21,24,"$",216000000,44000000
"542","New Zealand",2021-08-22,38,"$",101000000,56000000
"543","New Zealand",2021-08-23,42,"$",118000000,273000000
"544","New Zealand",2021-08-24,63,"$",155000000,219000000
"545","New Zealand",2021-08-25,68,"$",177000000,293000000
"546","New Zealand",2021-08-26,70,"$",121000000,408000000
"547","New Zealand",2021-08-27,83,"$",124000000,218000000
"548","New Zealand",2021-08-28,84,"$",108000000,42000000
"549","New Zealand",2021-08-29,55,"$",149000000,48000000
"550","New Zealand",2021-08-30,0,"$",156000000,292000000
"551","New Zealand",2021-08-31,50,"$",204000000,205000000
"552","New Zealand",2021-09-01,76,"$",104000000,424000000
"553","New Zealand",2021-09-02,84,"$",122000000,269000000
"554","New Zealand",2021-09-03,19,"$",105000000,309000000
"555","New Zealand",2021-09-04,20,"$",195000000,33000000
"556","New Zealand",2021-09-05,24,"$",163000000,38000000
"557","New Zealand",2021-09-06,21,"$",130000000,283000000
"558","New Zealand",2021-09-07,16,"$",134000000,281000000
"559","New Zealand",2021-09-08,18,"$",142000000,232000000
"560","New Zealand",2021-09-09,19,"$",229000000,295000000
"561","New Zealand",2021-09-10,24,"$",103000000,266000000
"562","New Zealand",2021-09-11,23,"$",163000000,30000000
"563","New Zealand",2021-09-12,36,"$",93000000,48000000
"564","New Zealand",2021-09-13,17,"$",115000000,254000000
"565","New Zealand",2021-09-14,15,"$",221000000,292000000
"566","New Zealand",2021-09-15,18,"$",117000000,277000000
"567","New Zealand",2021-09-16,15,"$",172000000,302000000
"568","New Zealand",2021-09-17,24,"$",109000000,279000000
"569","New Zealand",2021-09-18,22,"$",163000000,33000000
"570","New Zealand",2021-09-19,22,"$",70000000,61000000
"571","New Zealand",2021-09-20,13,"$",159000000,287000000
"572","New Zealand",2021-09-21,24,"$",206000000,316000000
"573","New Zealand",2021-09-22,16,"$",243000000,267000000
"574","New Zealand",2021-09-23,9,"$",189000000,283000000
"575","New Zealand",2021-09-24,18,"$",118000000,258000000
"576","New Zealand",2021-09-25,21,"$",113000000,45000000
"577","New Zealand",2021-09-26,11,"$",99000000,87000000
"578","New Zealand",2021-09-27,10,"$",118000000,291000000
"579","New Zealand",2021-09-28,44,"$",231000000,291000000
"580","New Zealand",2021-09-29,25,"$",96000000,227000000
"581","New Zealand",2021-09-30,18,"$",176000000,208000000
"582","New Zealand",2021-10-01,28,"$",193000000,369000000
"583","New Zealand",2021-10-02,33,"$",160000000,18000000
"584","New Zealand",2021-10-03,30,"$",188000000,47000000
"585","New Zealand",2021-10-04,26,"$",183000000,271000000
"586","New Zealand",2021-10-05,42,"$",254000000,292000000
