"","Period","Value","Type"
"14121",2018-02-13,6.782,"Imports_Cumulative_billion"
"4516",2018-02-14,6.333,"Exports_Cumulative_billion"
"14131",2018-02-14,6.971,"Imports_Cumulative_billion"
"4616",2018-02-15,6.497,"Exports_Cumulative_billion"
"14141",2018-02-15,7.174,"Imports_Cumulative_billion"
"4716",2018-02-16,6.654,"Exports_Cumulative_billion"
"14151",2018-02-16,7.357,"Imports_Cumulative_billion"
"4816",2018-02-17,6.735,"Exports_Cumulative_billion"
"14161",2018-02-17,7.38,"Imports_Cumulative_billion"
"4916",2018-02-18,6.934,"Exports_Cumulative_billion"
"14171",2018-02-18,7.417,"Imports_Cumulative_billion"
"5016",2018-02-19,7.211,"Exports_Cumulative_billion"
"14181",2018-02-19,7.597,"Imports_Cumulative_billion"
"5116",2018-02-20,7.331,"Exports_Cumulative_billion"
"14191",2018-02-20,7.797,"Imports_Cumulative_billion"
"5216",2018-02-21,7.482,"Exports_Cumulative_billion"
"1420",2018-02-21,8.03,"Imports_Cumulative_billion"
"5316",2018-02-22,7.65,"Exports_Cumulative_billion"
"14211",2018-02-22,8.241,"Imports_Cumulative_billion"
"5416",2018-02-23,7.828,"Exports_Cumulative_billion"
"14221",2018-02-23,8.53,"Imports_Cumulative_billion"
"5516",2018-02-24,7.985,"Exports_Cumulative_billion"
"14231",2018-02-24,8.563,"Imports_Cumulative_billion"
"5616",2018-02-25,8.166,"Exports_Cumulative_billion"
"1424",2018-02-25,8.597,"Imports_Cumulative_billion"
"5716",2018-02-26,8.427,"Exports_Cumulative_billion"
"1425",2018-02-26,8.808,"Imports_Cumulative_billion"
"5816",2018-02-27,8.523,"Exports_Cumulative_billion"
"1426",2018-02-27,9.012,"Imports_Cumulative_billion"
"37",2018-02-28,460,"Weekly_Mean_Rent_Price"
"371",2018-02-28,430,"Weekly_Median_Rent_Price"
"2100",2018-02-28,1428,"RPI_Flow"
"4712",2018-02-28,1401,"RPI_Stock"
"2102",2018-02-28,986,"FPI_Food"
"4714",2018-02-28,877,"FPI_Fruit_and_vegetables"
"922",2018-02-28,985,"FPI_Meat_poultry_and_fish"
"1372",2018-02-28,1006,"FPI_Grocery_food"
"1821",2018-02-28,1005,"FPI_Non-alcoholic_beverages"
"2271",2018-02-28,1017,"FPI_Restaurant_meals_and_ready-to-eat_food"
"5916",2018-02-28,8.72,"Exports_Cumulative_billion"
"1427",2018-02-28,9.194,"Imports_Cumulative_billion"
"17212",2018-02-28,2.0162,"NZAC_Total_Annual_change"
"3902",2018-02-28,4.7941,"NZAC_Annual_change_Card_transaction_spend"
"6052",2018-02-28,-2.5886,"NZAC_Annual_change_Electricity_grid_demand"
"8261",2018-02-28,54.0006,"NZAC_Annual_change_Manufacturing_index"
"10261",2018-02-28,6.9876,"NZAC_Annual_change_New_jobs_posted_online"
"12412",2018-02-28,0.5741,"NZAC_Annual_change_Traffic_index_(heavy)"
"14581",2018-02-28,3.9637,"NZAC_Annual_change_Traffic_index_(light)"
"6016",2018-03-01,8.85,"Exports_Cumulative_billion"
"1428",2018-03-01,9.488,"Imports_Cumulative_billion"
"6112",2018-03-02,8.985,"Exports_Cumulative_billion"
"1429",2018-03-02,9.67,"Imports_Cumulative_billion"
"6210",2018-03-03,9.118,"Exports_Cumulative_billion"
"1430",2018-03-03,9.702,"Imports_Cumulative_billion"
"6310",2018-03-04,9.279,"Exports_Cumulative_billion"
"14311",2018-03-04,9.736,"Imports_Cumulative_billion"
"6410",2018-03-05,9.559,"Exports_Cumulative_billion"
"14321",2018-03-05,9.926,"Imports_Cumulative_billion"
"6510",2018-03-06,9.677,"Exports_Cumulative_billion"
"1433",2018-03-06,10.13,"Imports_Cumulative_billion"
"6610",2018-03-07,9.8,"Exports_Cumulative_billion"
"1434",2018-03-07,10.308,"Imports_Cumulative_billion"
"6710",2018-03-08,9.951,"Exports_Cumulative_billion"
"1435",2018-03-08,10.505,"Imports_Cumulative_billion"
"6810",2018-03-09,10.095,"Exports_Cumulative_billion"
"1436",2018-03-09,10.765,"Imports_Cumulative_billion"
"6910",2018-03-10,10.193,"Exports_Cumulative_billion"
"1437",2018-03-10,10.801,"Imports_Cumulative_billion"
"7010",2018-03-11,10.432,"Exports_Cumulative_billion"
"1438",2018-03-11,10.836,"Imports_Cumulative_billion"
"7110",2018-03-12,10.704,"Exports_Cumulative_billion"
"1439",2018-03-12,11.039,"Imports_Cumulative_billion"
"7210",2018-03-13,10.789,"Exports_Cumulative_billion"
"1440",2018-03-13,11.227,"Imports_Cumulative_billion"
"7310",2018-03-14,10.907,"Exports_Cumulative_billion"
"14411",2018-03-14,11.408,"Imports_Cumulative_billion"
"7410",2018-03-15,11.02,"Exports_Cumulative_billion"
"14421",2018-03-15,11.612,"Imports_Cumulative_billion"
"7510",2018-03-16,11.15,"Exports_Cumulative_billion"
"1443",2018-03-16,11.779,"Imports_Cumulative_billion"
"7610",2018-03-17,11.276,"Exports_Cumulative_billion"
"1444",2018-03-17,11.804,"Imports_Cumulative_billion"
"7710",2018-03-18,11.443,"Exports_Cumulative_billion"
"1445",2018-03-18,11.839,"Imports_Cumulative_billion"
"7810",2018-03-19,11.684,"Exports_Cumulative_billion"
"1446",2018-03-19,12.017,"Imports_Cumulative_billion"
"7910",2018-03-20,11.747,"Exports_Cumulative_billion"
"1447",2018-03-20,12.2,"Imports_Cumulative_billion"
"8010",2018-03-21,11.881,"Exports_Cumulative_billion"
"1448",2018-03-21,12.392,"Imports_Cumulative_billion"
