"","Period","Value","Type"
"3401",2018-12-06,53.088,"Exports_Cumulative_billion"
"1708",2018-12-06,59.524,"Imports_Cumulative_billion"
"3415",2018-12-07,53.277,"Exports_Cumulative_billion"
"1709",2018-12-07,59.751,"Imports_Cumulative_billion"
"3421",2018-12-08,53.368,"Exports_Cumulative_billion"
"17101",2018-12-08,59.814,"Imports_Cumulative_billion"
"3431",2018-12-09,53.526,"Exports_Cumulative_billion"
"17111",2018-12-09,59.868,"Imports_Cumulative_billion"
"3441",2018-12-10,53.693,"Exports_Cumulative_billion"
"17121",2018-12-10,60.1,"Imports_Cumulative_billion"
"3451",2018-12-11,53.831,"Exports_Cumulative_billion"
"17131",2018-12-11,60.345,"Imports_Cumulative_billion"
"3461",2018-12-12,54.005,"Exports_Cumulative_billion"
"17141",2018-12-12,60.607,"Imports_Cumulative_billion"
"3471",2018-12-13,54.227,"Exports_Cumulative_billion"
"17151",2018-12-13,60.822,"Imports_Cumulative_billion"
"3481",2018-12-14,54.408,"Exports_Cumulative_billion"
"1716",2018-12-14,61.024,"Imports_Cumulative_billion"
"3491",2018-12-15,54.499,"Exports_Cumulative_billion"
"1717",2018-12-15,61.059,"Imports_Cumulative_billion"
"3501",2018-12-16,54.726,"Exports_Cumulative_billion"
"1718",2018-12-16,61.103,"Imports_Cumulative_billion"
"3515",2018-12-17,54.883,"Exports_Cumulative_billion"
"1719",2018-12-17,61.338,"Imports_Cumulative_billion"
"3521",2018-12-18,55.066,"Exports_Cumulative_billion"
"1720",2018-12-18,61.609,"Imports_Cumulative_billion"
"3531",2018-12-19,55.232,"Exports_Cumulative_billion"
"17211",2018-12-19,61.826,"Imports_Cumulative_billion"
"3541",2018-12-20,55.5,"Exports_Cumulative_billion"
"17221",2018-12-20,62.16,"Imports_Cumulative_billion"
"3551",2018-12-21,55.717,"Exports_Cumulative_billion"
"1723",2018-12-21,62.41,"Imports_Cumulative_billion"
"3561",2018-12-22,55.979,"Exports_Cumulative_billion"
"1724",2018-12-22,62.442,"Imports_Cumulative_billion"
"3571",2018-12-23,56.102,"Exports_Cumulative_billion"
"1725",2018-12-23,62.491,"Imports_Cumulative_billion"
"3581",2018-12-24,56.298,"Exports_Cumulative_billion"
"1726",2018-12-24,62.685,"Imports_Cumulative_billion"
"3591",2018-12-25,56.423,"Exports_Cumulative_billion"
"1727",2018-12-25,62.704,"Imports_Cumulative_billion"
"3601",2018-12-26,56.515,"Exports_Cumulative_billion"
"1728",2018-12-26,62.736,"Imports_Cumulative_billion"
"3617",2018-12-27,56.65,"Exports_Cumulative_billion"
"1729",2018-12-27,63,"Imports_Cumulative_billion"
"3621",2018-12-28,56.795,"Exports_Cumulative_billion"
"1730",2018-12-28,63.191,"Imports_Cumulative_billion"
"3631",2018-12-29,56.893,"Exports_Cumulative_billion"
"17311",2018-12-29,63.226,"Imports_Cumulative_billion"
"3641",2018-12-30,56.945,"Exports_Cumulative_billion"
"17321",2018-12-30,63.266,"Imports_Cumulative_billion"
"47",2018-12-31,465,"Weekly_Mean_Rent_Price"
"471",2018-12-31,440,"Weekly_Median_Rent_Price"
"1210",2018-12-31,1472,"RPI_Flow"
"5712",2018-12-31,1437,"RPI_Stock"
"4101",2018-12-31,1000,"CPI_Food"
"1911",2018-12-31,1039,"CPI_Alcoholic_beverages_and_tobacco"
"3411",2018-12-31,980,"CPI_Clothing_and_footwear"
"4913",2018-12-31,1047,"CPI_Housing_and_household_utilities"
"644",2018-12-31,998,"CPI_Household_contents_and_services"
"793",2018-12-31,1018,"CPI_Health"
"941",2018-12-31,1056,"CPI_Transport"
"1091",2018-12-31,936,"CPI_Communication"
"1241",2018-12-31,1028,"CPI_Recreation_and_culture"
"1391",2018-12-31,948,"CPI_Education"
"1541",2018-12-31,1045,"CPI_Miscellaneous_goods_and_services"
"1691",2018-12-31,1025,"CPI_All_groups"
"1213",2018-12-31,989,"FPI_Food"
"5714",2018-12-31,815,"FPI_Fruit_and_vegetables"
"1022",2018-12-31,1020,"FPI_Meat_poultry_and_fish"
"1472",2018-12-31,1013,"FPI_Grocery_food"
"1921",2018-12-31,986,"FPI_Non-alcoholic_beverages"
"2371",2018-12-31,1042,"FPI_Restaurant_meals_and_ready-to-eat_food"
"4103",2018-12-31,1057,"HPI_All_households"
"1914",2018-12-31,1068,"HPI_Beneficiary"
"3413",2018-12-31,1062,"HPI_Expenditure_quintile_lowest"
"4915",2018-12-31,1052,"HPI_Expenditure_quintile_highest"
"646",2018-12-31,1061,"HPI_Maori"
"795",2018-12-31,1058,"HPI_Superannuitant"
"4104",2018-12-31,1561,"CEP_All_Groups"
"4105",2018-12-31,1161,"PPI_Inputs"
"4106",2018-12-31,1167,"PPI_Outputs"
"1053",2018-12-31,1180,"LCI_All_Sectors"
"1323",2018-12-31,4.3,"Unemployment_Rate"
"2741",2018-12-31,67.9,"Employment_Rate"
"1203",2018-12-31,1235.82,"Weekly_Earnings"
"3651",2018-12-31,57.251,"Exports_Cumulative_billion"
"1733",2018-12-31,63.412,"Imports_Cumulative_billion"
"18012",2018-12-31,1.2321,"NZAC_Total_Annual_change"
"4018",2018-12-31,1.6768,"NZAC_Annual_change_Card_transaction_spend"
"6122",2018-12-31,-4.5654,"NZAC_Annual_change_Electricity_grid_demand"
"8351",2018-12-31,55.0908,"NZAC_Annual_change_Manufacturing_index"
"10341",2018-12-31,5.4675,"NZAC_Annual_change_New_jobs_posted_online"
"12522",2018-12-31,-0.5899,"NZAC_Annual_change_Traffic_index_(heavy)"
"14691",2018-12-31,0.045,"NZAC_Annual_change_Traffic_index_(light)"
"3661",2019-01-01,0.113,"Exports_Cumulative_billion"
"1734",2019-01-01,0.055,"Imports_Cumulative_billion"
"3671",2019-01-02,0.164,"Exports_Cumulative_billion"
"1735",2019-01-02,0.083,"Imports_Cumulative_billion"
"3681",2019-01-03,0.306,"Exports_Cumulative_billion"
"1736",2019-01-03,0.359,"Imports_Cumulative_billion"
"3691",2019-01-04,0.398,"Exports_Cumulative_billion"
"1737",2019-01-04,0.587,"Imports_Cumulative_billion"
"3701",2019-01-05,0.45,"Exports_Cumulative_billion"
"1738",2019-01-05,0.622,"Imports_Cumulative_billion"
"3717",2019-01-06,0.565,"Exports_Cumulative_billion"
"1739",2019-01-06,0.667,"Imports_Cumulative_billion"
"3721",2019-01-07,0.66,"Exports_Cumulative_billion"
"1740",2019-01-07,0.883,"Imports_Cumulative_billion"
"3731",2019-01-08,0.842,"Exports_Cumulative_billion"
"17411",2019-01-08,1.155,"Imports_Cumulative_billion"
"3741",2019-01-09,0.894,"Exports_Cumulative_billion"
"17421",2019-01-09,1.387,"Imports_Cumulative_billion"
"3751",2019-01-10,1.008,"Exports_Cumulative_billion"
"1743",2019-01-10,1.649,"Imports_Cumulative_billion"
"3761",2019-01-11,1.112,"Exports_Cumulative_billion"
"1744",2019-01-11,1.85,"Imports_Cumulative_billion"
"3771",2019-01-12,1.196,"Exports_Cumulative_billion"
"1745",2019-01-12,1.876,"Imports_Cumulative_billion"
"3781",2019-01-13,1.333,"Exports_Cumulative_billion"
"1746",2019-01-13,1.925,"Imports_Cumulative_billion"
"3791",2019-01-14,1.432,"Exports_Cumulative_billion"
"1747",2019-01-14,2.109,"Imports_Cumulative_billion"
"3801",2019-01-15,1.605,"Exports_Cumulative_billion"
"1748",2019-01-15,2.334,"Imports_Cumulative_billion"
"3817",2019-01-16,1.716,"Exports_Cumulative_billion"
"1749",2019-01-16,2.577,"Imports_Cumulative_billion"
"3821",2019-01-17,1.865,"Exports_Cumulative_billion"
"1750",2019-01-17,2.809,"Imports_Cumulative_billion"
"3831",2019-01-18,2.022,"Exports_Cumulative_billion"
"17511",2019-01-18,2.994,"Imports_Cumulative_billion"
"3841",2019-01-19,2.106,"Exports_Cumulative_billion"
"17521",2019-01-19,3.022,"Imports_Cumulative_billion"
"3851",2019-01-20,2.266,"Exports_Cumulative_billion"
"1753",2019-01-20,3.062,"Imports_Cumulative_billion"
"3861",2019-01-21,2.39,"Exports_Cumulative_billion"
"1754",2019-01-21,3.268,"Imports_Cumulative_billion"
"3871",2019-01-22,2.688,"Exports_Cumulative_billion"
"1755",2019-01-22,3.468,"Imports_Cumulative_billion"
"3881",2019-01-23,2.92,"Exports_Cumulative_billion"
"1756",2019-01-23,3.707,"Imports_Cumulative_billion"
"3891",2019-01-24,3.089,"Exports_Cumulative_billion"
"1757",2019-01-24,4.066,"Imports_Cumulative_billion"
"3901",2019-01-25,3.277,"Exports_Cumulative_billion"
"1758",2019-01-25,4.235,"Imports_Cumulative_billion"
"3917",2019-01-26,3.381,"Exports_Cumulative_billion"
"1759",2019-01-26,4.26,"Imports_Cumulative_billion"
"3921",2019-01-27,3.511,"Exports_Cumulative_billion"
"1760",2019-01-27,4.298,"Imports_Cumulative_billion"
"3931",2019-01-28,3.72,"Exports_Cumulative_billion"
"17611",2019-01-28,4.35,"Imports_Cumulative_billion"
"3941",2019-01-29,3.96,"Exports_Cumulative_billion"
"17621",2019-01-29,4.722,"Imports_Cumulative_billion"
"3951",2019-01-30,4.154,"Exports_Cumulative_billion"
"1763",2019-01-30,5.043,"Imports_Cumulative_billion"
"48",2019-01-31,486,"Weekly_Mean_Rent_Price"
"481",2019-01-31,450,"Weekly_Median_Rent_Price"
"1310",2019-01-31,1467,"RPI_Flow"
"5812",2019-01-31,1440,"RPI_Stock"
"1313",2019-01-31,999,"FPI_Food"
"5814",2019-01-31,852,"FPI_Fruit_and_vegetables"
"1032",2019-01-31,1025,"FPI_Meat_poultry_and_fish"
"1482",2019-01-31,1022,"FPI_Grocery_food"
"1931",2019-01-31,991,"FPI_Non-alcoholic_beverages"
"2381",2019-01-31,1044,"FPI_Restaurant_meals_and_ready-to-eat_food"
"3961",2019-01-31,4.344,"Exports_Cumulative_billion"
"1764",2019-01-31,5.279,"Imports_Cumulative_billion"
"18412",2019-01-31,2.2306,"NZAC_Total_Annual_change"
"3982",2019-01-31,4.394,"NZAC_Annual_change_Card_transaction_spend"
"6172",2019-01-31,2.3298,"NZAC_Annual_change_Electricity_grid_demand"
"8361",2019-01-31,51.1465,"NZAC_Annual_change_Manufacturing_index"
"10351",2019-01-31,13.3438,"NZAC_Annual_change_New_jobs_posted_online"
"12532",2019-01-31,2.7186,"NZAC_Annual_change_Traffic_index_(heavy)"
"14681",2019-01-31,2.6345,"NZAC_Annual_change_Traffic_index_(light)"
"3971",2019-02-01,4.516,"Exports_Cumulative_billion"
"1765",2019-02-01,5.599,"Imports_Cumulative_billion"
"3981",2019-02-02,4.641,"Exports_Cumulative_billion"
"1766",2019-02-02,5.623,"Imports_Cumulative_billion"
"3991",2019-02-03,4.758,"Exports_Cumulative_billion"
"1767",2019-02-03,5.673,"Imports_Cumulative_billion"
"4001",2019-02-04,4.901,"Exports_Cumulative_billion"
"1768",2019-02-04,5.9,"Imports_Cumulative_billion"
"4017",2019-02-05,5.156,"Exports_Cumulative_billion"
"1769",2019-02-05,6.134,"Imports_Cumulative_billion"
"4021",2019-02-06,5.345,"Exports_Cumulative_billion"
"1770",2019-02-06,6.195,"Imports_Cumulative_billion"
"4031",2019-02-07,5.493,"Exports_Cumulative_billion"
"17711",2019-02-07,6.411,"Imports_Cumulative_billion"
"4041",2019-02-08,5.659,"Exports_Cumulative_billion"
"17721",2019-02-08,6.61,"Imports_Cumulative_billion"
"4051",2019-02-09,5.773,"Exports_Cumulative_billion"
"1773",2019-02-09,6.639,"Imports_Cumulative_billion"
"4061",2019-02-10,5.905,"Exports_Cumulative_billion"
"1774",2019-02-10,6.676,"Imports_Cumulative_billion"
"4071",2019-02-11,6.044,"Exports_Cumulative_billion"
"1775",2019-02-11,6.912,"Imports_Cumulative_billion"
"4081",2019-02-12,6.267,"Exports_Cumulative_billion"
"1776",2019-02-12,7.18,"Imports_Cumulative_billion"
"4091",2019-02-13,6.438,"Exports_Cumulative_billion"
"1777",2019-02-13,7.37,"Imports_Cumulative_billion"
"4108",2019-02-14,6.602,"Exports_Cumulative_billion"
"1778",2019-02-14,7.614,"Imports_Cumulative_billion"
"4117",2019-02-15,6.772,"Exports_Cumulative_billion"
"1779",2019-02-15,7.825,"Imports_Cumulative_billion"
"4121",2019-02-16,6.848,"Exports_Cumulative_billion"
"1780",2019-02-16,7.852,"Imports_Cumulative_billion"
"4131",2019-02-17,7.02,"Exports_Cumulative_billion"
"17811",2019-02-17,7.892,"Imports_Cumulative_billion"
"4141",2019-02-18,7.134,"Exports_Cumulative_billion"
"17821",2019-02-18,8.179,"Imports_Cumulative_billion"
"4151",2019-02-19,7.507,"Exports_Cumulative_billion"
"1783",2019-02-19,8.372,"Imports_Cumulative_billion"
"4161",2019-02-20,7.704,"Exports_Cumulative_billion"
"1784",2019-02-20,8.597,"Imports_Cumulative_billion"
"4171",2019-02-21,7.829,"Exports_Cumulative_billion"
"1785",2019-02-21,8.882,"Imports_Cumulative_billion"
"4181",2019-02-22,8.022,"Exports_Cumulative_billion"
"1786",2019-02-22,9.054,"Imports_Cumulative_billion"
"4191",2019-02-23,8.133,"Exports_Cumulative_billion"
"1787",2019-02-23,9.079,"Imports_Cumulative_billion"
"4201",2019-02-24,8.303,"Exports_Cumulative_billion"
"1788",2019-02-24,9.117,"Imports_Cumulative_billion"
"4217",2019-02-25,8.491,"Exports_Cumulative_billion"
"1789",2019-02-25,9.3,"Imports_Cumulative_billion"
"4221",2019-02-26,8.685,"Exports_Cumulative_billion"
"1790",2019-02-26,9.511,"Imports_Cumulative_billion"
"4231",2019-02-27,8.844,"Exports_Cumulative_billion"
"17911",2019-02-27,9.749,"Imports_Cumulative_billion"
"49",2019-02-28,491,"Weekly_Mean_Rent_Price"
"491",2019-02-28,450,"Weekly_Median_Rent_Price"
"1410",2019-02-28,1492,"RPI_Flow"
"5912",2019-02-28,1444,"RPI_Stock"
"1413",2019-02-28,1003,"FPI_Food"
"5914",2019-02-28,872,"FPI_Fruit_and_vegetables"
"1042",2019-02-28,1019,"FPI_Meat_poultry_and_fish"
"1492",2019-02-28,1014,"FPI_Grocery_food"
"1941",2019-02-28,1032,"FPI_Non-alcoholic_beverages"
"2391",2019-02-28,1046,"FPI_Restaurant_meals_and_ready-to-eat_food"
"4241",2019-02-28,9.053,"Exports_Cumulative_billion"
"17921",2019-02-28,10.081,"Imports_Cumulative_billion"
"18512",2019-02-28,2.7611,"NZAC_Total_Annual_change"
"4032",2019-02-28,3.7236,"NZAC_Annual_change_Card_transaction_spend"
"6182",2019-02-28,4.6619,"NZAC_Annual_change_Electricity_grid_demand"
"8322",2019-02-28,54.2703,"NZAC_Annual_change_Manufacturing_index"
"10371",2019-02-28,8.1479,"NZAC_Annual_change_New_jobs_posted_online"
"12512",2019-02-28,4.6215,"NZAC_Annual_change_Traffic_index_(heavy)"
"14701",2019-02-28,1.7849,"NZAC_Annual_change_Traffic_index_(light)"
"4251",2019-03-01,9.191,"Exports_Cumulative_billion"
"1793",2019-03-01,10.359,"Imports_Cumulative_billion"
"4261",2019-03-02,9.319,"Exports_Cumulative_billion"
"1794",2019-03-02,10.395,"Imports_Cumulative_billion"
"4271",2019-03-03,9.468,"Exports_Cumulative_billion"
"1795",2019-03-03,10.44,"Imports_Cumulative_billion"
"4281",2019-03-04,9.649,"Exports_Cumulative_billion"
"1796",2019-03-04,10.668,"Imports_Cumulative_billion"
"4291",2019-03-05,9.941,"Exports_Cumulative_billion"
"1797",2019-03-05,10.851,"Imports_Cumulative_billion"
"4301",2019-03-06,10.092,"Exports_Cumulative_billion"
"1798",2019-03-06,11.045,"Imports_Cumulative_billion"
"4317",2019-03-07,10.303,"Exports_Cumulative_billion"
"1799",2019-03-07,11.24,"Imports_Cumulative_billion"
"4321",2019-03-08,10.459,"Exports_Cumulative_billion"
"1800",2019-03-08,11.444,"Imports_Cumulative_billion"
"4331",2019-03-09,10.557,"Exports_Cumulative_billion"
"18011",2019-03-09,11.48,"Imports_Cumulative_billion"
"4341",2019-03-10,10.706,"Exports_Cumulative_billion"
"18021",2019-03-10,11.517,"Imports_Cumulative_billion"
"4351",2019-03-11,10.91,"Exports_Cumulative_billion"
"1803",2019-03-11,11.697,"Imports_Cumulative_billion"
"4361",2019-03-12,11.077,"Exports_Cumulative_billion"
"1804",2019-03-12,11.863,"Imports_Cumulative_billion"
"4371",2019-03-13,11.245,"Exports_Cumulative_billion"
"1805",2019-03-13,12.047,"Imports_Cumulative_billion"
"4381",2019-03-14,11.461,"Exports_Cumulative_billion"
"1806",2019-03-14,12.262,"Imports_Cumulative_billion"
"4391",2019-03-15,11.658,"Exports_Cumulative_billion"
"1807",2019-03-15,12.498,"Imports_Cumulative_billion"
"4401",2019-03-16,11.753,"Exports_Cumulative_billion"
"1808",2019-03-16,12.533,"Imports_Cumulative_billion"
"4417",2019-03-17,11.97,"Exports_Cumulative_billion"
"1809",2019-03-17,12.573,"Imports_Cumulative_billion"
"4421",2019-03-18,12.095,"Exports_Cumulative_billion"
"18101",2019-03-18,12.798,"Imports_Cumulative_billion"
"4431",2019-03-19,12.312,"Exports_Cumulative_billion"
"18111",2019-03-19,12.989,"Imports_Cumulative_billion"
"4441",2019-03-20,12.52,"Exports_Cumulative_billion"
"18121",2019-03-20,13.222,"Imports_Cumulative_billion"
"4451",2019-03-21,12.703,"Exports_Cumulative_billion"
"18131",2019-03-21,13.431,"Imports_Cumulative_billion"
"4461",2019-03-22,12.906,"Exports_Cumulative_billion"
"18141",2019-03-22,13.613,"Imports_Cumulative_billion"
"4471",2019-03-23,13.082,"Exports_Cumulative_billion"
"1815",2019-03-23,13.644,"Imports_Cumulative_billion"
"4481",2019-03-24,13.294,"Exports_Cumulative_billion"
"1816",2019-03-24,13.69,"Imports_Cumulative_billion"
"4491",2019-03-25,13.419,"Exports_Cumulative_billion"
"1817",2019-03-25,13.863,"Imports_Cumulative_billion"
"4501",2019-03-26,13.704,"Exports_Cumulative_billion"
"1818",2019-03-26,14.059,"Imports_Cumulative_billion"
"4517",2019-03-27,13.947,"Exports_Cumulative_billion"
"1819",2019-03-27,14.407,"Imports_Cumulative_billion"
"4521",2019-03-28,14.081,"Exports_Cumulative_billion"
"1820",2019-03-28,14.597,"Imports_Cumulative_billion"
"4531",2019-03-29,14.311,"Exports_Cumulative_billion"
"18211",2019-03-29,14.795,"Imports_Cumulative_billion"
"4541",2019-03-30,14.455,"Exports_Cumulative_billion"
"1822",2019-03-30,14.821,"Imports_Cumulative_billion"
"50",2019-03-31,476,"Weekly_Mean_Rent_Price"
"501",2019-03-31,450,"Weekly_Median_Rent_Price"
"1510",2019-03-31,1507,"RPI_Flow"
"6012",2019-03-31,1451,"RPI_Stock"
"5101",2019-03-31,1012,"CPI_Food"
"2011",2019-03-31,1088,"CPI_Alcoholic_beverages_and_tobacco"
"3511",2019-03-31,982,"CPI_Clothing_and_footwear"
"5013",2019-03-31,1053,"CPI_Housing_and_household_utilities"
"654",2019-03-31,991,"CPI_Household_contents_and_services"
"802",2019-03-31,1016,"CPI_Health"
"951",2019-03-31,1016,"CPI_Transport"
"1102",2019-03-31,935,"CPI_Communication"
"1251",2019-03-31,1016,"CPI_Recreation_and_culture"
"1401",2019-03-31,963,"CPI_Education"
"1551",2019-03-31,1050,"CPI_Miscellaneous_goods_and_services"
"1701",2019-03-31,1026,"CPI_All_groups"
"1513",2019-03-31,1008,"FPI_Food"
"6014",2019-03-31,904,"FPI_Fruit_and_vegetables"
"1052",2019-03-31,1006,"FPI_Meat_poultry_and_fish"
"1502",2019-03-31,1020,"FPI_Grocery_food"
"1951",2019-03-31,1026,"FPI_Non-alcoholic_beverages"
"2401",2019-03-31,1048,"FPI_Restaurant_meals_and_ready-to-eat_food"
"5103",2019-03-31,1057,"HPI_All_households"
"2014",2019-03-31,1074,"HPI_Beneficiary"
"3513",2019-03-31,1067,"HPI_Expenditure_quintile_lowest"
"5015",2019-03-31,1049,"HPI_Expenditure_quintile_highest"
"656",2019-03-31,1065,"HPI_Maori"
"804",2019-03-31,1060,"HPI_Superannuitant"
"5104",2019-03-31,1569,"CEP_All_Groups"
"5105",2019-03-31,1151,"PPI_Inputs"
"5106",2019-03-31,1161,"PPI_Outputs"
"1063",2019-03-31,1185,"LCI_All_Sectors"
"1333",2019-03-31,4.2,"Unemployment_Rate"
"2751",2019-03-31,67.6,"Employment_Rate"
"1219",2019-03-31,1246.75,"Weekly_Earnings"
"4551",2019-03-31,14.652,"Exports_Cumulative_billion"
"1823",2019-03-31,14.856,"Imports_Cumulative_billion"
"18712",2019-03-31,2.0392,"NZAC_Total_Annual_change"
"4042",2019-03-31,1.7578,"NZAC_Annual_change_Card_transaction_spend"
"6202",2019-03-31,3.5207,"NZAC_Annual_change_Electricity_grid_demand"
"8381",2019-03-31,52.7894,"NZAC_Annual_change_Manufacturing_index"
"10391",2019-03-31,2.7217,"NZAC_Annual_change_New_jobs_posted_online"
"12551",2019-03-31,0.369,"NZAC_Annual_change_Traffic_index_(heavy)"
"14712",2019-03-31,1.8659,"NZAC_Annual_change_Traffic_index_(light)"
"4561",2019-04-01,14.782,"Exports_Cumulative_billion"
"1824",2019-04-01,15.155,"Imports_Cumulative_billion"
"4571",2019-04-02,15.01,"Exports_Cumulative_billion"
"1825",2019-04-02,15.377,"Imports_Cumulative_billion"
"4581",2019-04-03,15.22,"Exports_Cumulative_billion"
"1826",2019-04-03,15.588,"Imports_Cumulative_billion"
"4591",2019-04-04,15.399,"Exports_Cumulative_billion"
"1827",2019-04-04,15.827,"Imports_Cumulative_billion"
"4601",2019-04-05,15.583,"Exports_Cumulative_billion"
"1828",2019-04-05,16.031,"Imports_Cumulative_billion"
"4617",2019-04-06,15.719,"Exports_Cumulative_billion"
"1829",2019-04-06,16.063,"Imports_Cumulative_billion"
"4621",2019-04-07,15.916,"Exports_Cumulative_billion"
"1830",2019-04-07,16.101,"Imports_Cumulative_billion"
"4631",2019-04-08,16.07,"Exports_Cumulative_billion"
"18311",2019-04-08,16.282,"Imports_Cumulative_billion"
"4641",2019-04-09,16.282,"Exports_Cumulative_billion"
"1832",2019-04-09,16.508,"Imports_Cumulative_billion"
"4651",2019-04-10,16.482,"Exports_Cumulative_billion"
"1833",2019-04-10,16.722,"Imports_Cumulative_billion"
"4661",2019-04-11,16.649,"Exports_Cumulative_billion"
"1834",2019-04-11,17.118,"Imports_Cumulative_billion"
"4671",2019-04-12,16.907,"Exports_Cumulative_billion"
"1835",2019-04-12,17.353,"Imports_Cumulative_billion"
"4681",2019-04-13,17.042,"Exports_Cumulative_billion"
"1836",2019-04-13,17.391,"Imports_Cumulative_billion"
"4691",2019-04-14,17.298,"Exports_Cumulative_billion"
"1837",2019-04-14,17.424,"Imports_Cumulative_billion"
"4701",2019-04-15,17.457,"Exports_Cumulative_billion"
"1838",2019-04-15,17.632,"Imports_Cumulative_billion"
"4717",2019-04-16,17.76,"Exports_Cumulative_billion"
"1839",2019-04-16,17.889,"Imports_Cumulative_billion"
"4721",2019-04-17,17.957,"Exports_Cumulative_billion"
"1840",2019-04-17,18.196,"Imports_Cumulative_billion"
"4731",2019-04-18,18.115,"Exports_Cumulative_billion"
"18411",2019-04-18,18.405,"Imports_Cumulative_billion"
"4741",2019-04-19,18.303,"Exports_Cumulative_billion"
"1842",2019-04-19,18.455,"Imports_Cumulative_billion"
"4751",2019-04-20,18.41,"Exports_Cumulative_billion"
"1843",2019-04-20,18.481,"Imports_Cumulative_billion"
"4761",2019-04-21,18.643,"Exports_Cumulative_billion"
"1844",2019-04-21,18.513,"Imports_Cumulative_billion"
"4771",2019-04-22,18.748,"Exports_Cumulative_billion"
"1845",2019-04-22,18.555,"Imports_Cumulative_billion"
"4781",2019-04-23,18.965,"Exports_Cumulative_billion"
"1846",2019-04-23,18.788,"Imports_Cumulative_billion"
"4791",2019-04-24,19.142,"Exports_Cumulative_billion"
"1847",2019-04-24,19.052,"Imports_Cumulative_billion"
"4801",2019-04-25,19.262,"Exports_Cumulative_billion"
"1848",2019-04-25,19.119,"Imports_Cumulative_billion"
"4817",2019-04-26,19.445,"Exports_Cumulative_billion"
"1849",2019-04-26,19.383,"Imports_Cumulative_billion"
"4821",2019-04-27,19.573,"Exports_Cumulative_billion"
"1850",2019-04-27,19.415,"Imports_Cumulative_billion"
"4831",2019-04-28,19.74,"Exports_Cumulative_billion"
"18511",2019-04-28,19.444,"Imports_Cumulative_billion"
"4841",2019-04-29,19.904,"Exports_Cumulative_billion"
"1852",2019-04-29,19.702,"Imports_Cumulative_billion"
"51",2019-04-30,475,"Weekly_Mean_Rent_Price"
"511",2019-04-30,450,"Weekly_Median_Rent_Price"
"1610",2019-04-30,1509,"RPI_Flow"
"615",2019-04-30,1456,"RPI_Stock"
"1613",2019-04-30,1007,"FPI_Food"
"619",2019-04-30,882,"FPI_Fruit_and_vegetables"
"1062",2019-04-30,1011,"FPI_Meat_poultry_and_fish"
"1514",2019-04-30,1022,"FPI_Grocery_food"
"1961",2019-04-30,1020,"FPI_Non-alcoholic_beverages"
"2413",2019-04-30,1057,"FPI_Restaurant_meals_and_ready-to-eat_food"
"4851",2019-04-30,20.134,"Exports_Cumulative_billion"
"1853",2019-04-30,19.976,"Imports_Cumulative_billion"
"18612",2019-04-30,1.8959,"NZAC_Total_Annual_change"
"4052",2019-04-30,5.0663,"NZAC_Annual_change_Card_transaction_spend"
"6212",2019-04-30,0.2471,"NZAC_Annual_change_Electricity_grid_demand"
"8412",2019-04-30,53.095,"NZAC_Annual_change_Manufacturing_index"
"10361",2019-04-30,1.2234,"NZAC_Annual_change_New_jobs_posted_online"
"12541",2019-04-30,3.2936,"NZAC_Annual_change_Traffic_index_(heavy)"
"14722",2019-04-30,2.0672,"NZAC_Annual_change_Traffic_index_(light)"
"4861",2019-05-01,20.283,"Exports_Cumulative_billion"
"1854",2019-05-01,20.24,"Imports_Cumulative_billion"
"4871",2019-05-02,20.409,"Exports_Cumulative_billion"
"1855",2019-05-02,20.473,"Imports_Cumulative_billion"
"4881",2019-05-03,20.626,"Exports_Cumulative_billion"
"1856",2019-05-03,20.766,"Imports_Cumulative_billion"
"4891",2019-05-04,20.729,"Exports_Cumulative_billion"
"1857",2019-05-04,20.8,"Imports_Cumulative_billion"
"4901",2019-05-05,20.933,"Exports_Cumulative_billion"
"1858",2019-05-05,20.835,"Imports_Cumulative_billion"
"4917",2019-05-06,21.09,"Exports_Cumulative_billion"
"1859",2019-05-06,21.054,"Imports_Cumulative_billion"
"4921",2019-05-07,21.323,"Exports_Cumulative_billion"
"1860",2019-05-07,21.276,"Imports_Cumulative_billion"
"4931",2019-05-08,21.552,"Exports_Cumulative_billion"
"18611",2019-05-08,21.518,"Imports_Cumulative_billion"
"4941",2019-05-09,21.676,"Exports_Cumulative_billion"
"1862",2019-05-09,21.727,"Imports_Cumulative_billion"
"4951",2019-05-10,21.872,"Exports_Cumulative_billion"
"1863",2019-05-10,21.972,"Imports_Cumulative_billion"
"4961",2019-05-11,22.013,"Exports_Cumulative_billion"
"1864",2019-05-11,22.002,"Imports_Cumulative_billion"
"4971",2019-05-12,22.177,"Exports_Cumulative_billion"
"1865",2019-05-12,22.035,"Imports_Cumulative_billion"
"4981",2019-05-13,22.353,"Exports_Cumulative_billion"
"1866",2019-05-13,22.253,"Imports_Cumulative_billion"
"4991",2019-05-14,22.58,"Exports_Cumulative_billion"
"1867",2019-05-14,22.45,"Imports_Cumulative_billion"
"5001",2019-05-15,22.822,"Exports_Cumulative_billion"
"1868",2019-05-15,22.642,"Imports_Cumulative_billion"
"5017",2019-05-16,22.953,"Exports_Cumulative_billion"
"1869",2019-05-16,22.88,"Imports_Cumulative_billion"
"5021",2019-05-17,23.169,"Exports_Cumulative_billion"
"1870",2019-05-17,23.054,"Imports_Cumulative_billion"
